dia,hora,velocidade,latitude,longitude,altitude,satelites,xg,yg,zg,x,y,z
90915,19381900,0.00,0.00000,0.00000,0.00,0,-0.25,0.16,0.92,-1520,-1848,-1794
90915,19381900,0.00,0.00000,0.00000,0.00,0,-0.25,0.16,0.92,-1520,-1848,-1794
90915,19382100,0.00,0.00000,0.00000,0.00,0,-0.23,0.21,0.93,-1520,-1848,-1794
90915,19382100,0.00,0.00000,0.00000,0.00,0,-0.25,0.22,0.90,-1520,-1848,-1794
90915,19382100,0.00,0.00000,0.00000,0.00,0,-0.24,0.11,0.90,-1520,-1848,-1794
90915,19382100,0.00,0.00000,0.00000,0.00,0,-0.24,0.22,0.95,-1520,-1848,-1794
90915,19382100,0.00,0.00000,0.00000,0.00,0,-0.18,0.24,0.95,-1520,-1848,-1794
90915,19382100,0.00,0.00000,0.00000,0.00,0,-0.20,0.15,0.86,-1520,-1848,-1794
90915,19382100,0.00,0.00000,0.00000,0.00,0,-0.26,0.19,0.95,-1520,-1848,-1794
90915,19382100,0.00,0.00000,0.00000,0.00,0,-0.26,0.16,0.88,-1520,-1848,-1794
90915,19382200,0.00,0.00000,0.00000,0.00,0,-0.22,0.22,0.93,-1520,-1848,-1794
90915,19382200,0.00,0.00000,0.00000,0.00,0,-0.21,0.18,0.82,-1520,-1848,-1794
90915,19382200,0.00,0.00000,0.00000,0.00,0,-0.23,0.21,0.95,-1520,-1848,-1794
90915,19382200,0.00,0.00000,0.00000,0.00,0,-0.27,0.15,0.90,-1520,-1848,-1794
90915,19382200,0.00,0.00000,0.00000,0.00,0,-0.26,0.14,0.91,-1520,-1848,-1794
90915,19382200,0.00,0.00000,0.00000,0.00,0,-0.22,0.17,0.94,-1520,-1848,-1794
90915,19382200,0.00,0.00000,0.00000,0.00,0,-0.14,0.13,0.90,-1520,-1848,-1794
90915,19382200,0.00,0.00000,0.00000,0.00,0,-0.23,0.14,0.89,-1520,-1848,-1794
90915,19382300,0.00,0.00000,0.00000,0.00,0,-0.20,0.11,0.91,-1520,-1848,-1794
90915,19382300,0.00,0.00000,0.00000,0.00,0,-0.21,0.09,0.90,-1520,-1848,-1794
90915,19382300,0.00,0.00000,0.00000,0.00,0,-0.25,0.13,0.95,-1520,-1848,-1794
90915,19382300,0.00,0.00000,0.00000,0.00,0,-0.23,0.12,0.93,-1520,-1848,-1794
90915,19382300,0.00,0.00000,0.00000,0.00,0,-0.20,0.10,0.91,-1520,-1848,-1794
90915,19382300,0.00,0.00000,0.00000,0.00,0,-0.18,0.10,0.95,-1520,-1848,-1794
90915,19382300,0.00,0.00000,0.00000,0.00,0,-0.20,0.14,0.96,-1520,-1848,-1794
90915,19382300,0.00,0.00000,0.00000,0.00,0,-0.19,0.11,0.90,-1520,-1848,-1794
90915,19382400,0.00,0.00000,0.00000,0.00,0,-0.22,0.18,0.91,-1520,-1848,-1794
90915,19382400,0.00,0.00000,0.00000,0.00,0,-0.20,0.15,0.90,-1520,-1848,-1794
90915,19382400,0.00,0.00000,0.00000,0.00,0,-0.23,0.17,0.96,-1520,-1848,-1794
90915,19382400,0.00,0.00000,0.00000,0.00,0,-0.21,0.16,0.95,-1520,-1848,-1794
90915,19382400,0.00,0.00000,0.00000,0.00,0,-0.21,0.14,0.91,-1520,-1848,-1794
90915,19382400,0.00,0.00000,0.00000,0.00,0,-0.24,0.15,0.93,-1520,-1848,-1794
90915,19382400,0.00,0.00000,0.00000,0.00,0,-0.24,0.16,0.97,-1520,-1848,-1794
90915,19382400,0.00,0.00000,0.00000,0.00,0,-0.21,0.14,0.94,-1520,-1848,-1794
90915,19382500,0.00,0.00000,0.00000,0.00,0,-0.23,0.22,0.89,-1520,-1848,-1794
90915,19382500,0.00,0.00000,0.00000,0.00,0,-0.22,0.18,0.88,-1520,-1848,-1794
90915,19382500,0.00,0.00000,0.00000,0.00,0,-0.23,0.21,0.89,-1520,-1848,-1794
